HTML,HTMLForm,IFrame,FlashContent,General Salutation,Javascript,Number of URLs,Malicious URL,text link disparity,Attachments,IP URLs,hexadecimal URL,Bad Rank Domain,Maximum Domains Counts,Class
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,0,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,5,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,1,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,4,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,1,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,4,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,4,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,5,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,1,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,4,0,0,0,0,0,0,0,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,0,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,1,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,17,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,1,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,0,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,0,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,1,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,2,0,0,0,0,0,0,1,Ham
0,0,0,0,0,0,3,0,0,0,0,0,0,1,Ham
