HTML,HTMLForm,IFrame,FlashContent,General Salutation,Javascript,Number of URLs,Malicious URL,text link disparity,Attachments,IP URLs,hexadecimal URL,Bad Rank Domain,Maximum Domains Counts,Class
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,5,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,0,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,2,True,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,4,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,0,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,True,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,4,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,4,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,5,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,True,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,4,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,False,False,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,True,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,17,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,True,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,0,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,True,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,0,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,0,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,5,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,25,True,False,0,False,False,True,False,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,0,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,4,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,11,True,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,3,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,21,True,False,0,False,False,True,False,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,False,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,False,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,4,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,2,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
False,False,False,False,False,False,1,False,False,0,False,False,True,True,Ham
