HTML,HTMLForm,IFrame,FlashContent,General Salutation,Javascript,mailto:,popups,body richness,Number of URLs,Malicious URL,text link disparity,Attachments,IP URLs,hexadecimal URL,Bad Rank Domain,Maximum Domains Counts,@_in_url,Subject richness,Fwd: mail,Re: mail,contains account,contains verify,contains update,contains prime targets,contains suspension,contains password,contains urgent,contains access,number of dots,number of dash,Class
0,0,0,0,0,0,0,0,1.24,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.2222222222222223,2,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,0,1.1666666666666667,0,0,0,0,0,0,0,0,0,0,2,0,Ham
0,0,0,0,0,0,0,0,1.2352941176470589,2,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,1,0,1.9275362318840579,3,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,2,0,Ham
0,0,0,0,0,0,0,0,1.8440366972477065,1,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,1,0,1.632,11,1,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.2337662337662338,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,2,0,Ham
1,0,0,0,0,0,0,0,1.672705314009662,125,4,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.3428571428571427,3,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,2,0,Ham
0,0,0,0,0,0,0,0,1.1428571428571428,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.1578947368421053,1,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,2,0,Ham
1,0,1,0,0,1,0,0,2.6583629893238436,84,3,0,0,0,0,0,2,1,1.0,0,0,0,0,0,0,0,0,0,0,5,2,Ham
0,0,0,0,0,0,0,0,1.0454545454545454,1,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.2537313432835822,1,0,0,0,0,0,0,1,0,1.25,0,1,0,0,0,0,0,0,0,0,2,0,Ham
1,1,0,0,0,0,0,0,1.6394101876675604,96,3,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.1694915254237288,1,0,0,0,0,0,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.2881355932203389,2,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.7373737373737375,2,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.04,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.3157894736842106,3,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,1,3,0,Ham
0,0,0,0,0,0,0,0,1.9474654377880185,30,0,0,0,0,0,0,2,0,1.0,0,0,0,0,1,0,0,0,0,0,2,0,Ham
0,0,0,0,0,0,0,0,1.2769230769230768,2,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,3,0,Ham
0,0,0,0,0,0,0,0,1.6486486486486487,3,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.263157894736842,2,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,2,0,Ham
0,0,0,0,0,0,0,0,1.1875,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
0,0,0,0,0,0,0,0,1.2826086956521738,1,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,Ham
